@id,@lon,@lat,name,name:mk,name:en,int_name,addr:city,addr:housenumber,addr:postcode,addr:street,phone,contact:phone,opening_hours,fee,operator,website,historic,memorial,wikipedia
172348137,21.4174425,42.0057090,Природонаучен Музеј,,Macedonian Museum of Natural History,,,,,,,+38923117669,Tu-Su 09:00-16:00,yes,,,,,mk:Природонаучен музеј на Македонија
367853384,21.4333190,41.9936737,Питу Гули,,,,,,,,,,,,,,monument,,
367860262,21.4233737,42.0032812,Гоце Делчев,,,,,,,,,,,,,,monument,,
369750026,21.4338778,42.0008716,Влез на Скопското кале,,Skopje Fortress Gate,,,,,,,,,,,,city_gate,,
373488269,20.9601530,42.0195738,Тетовско Кале,,Tetovo Fortress,,,,,,,,,,,,ruins,,mk:Тетовско кале
382635381,22.0228463,41.4325212,Костурница,,Kosturnica,,,,,,,,,,,,monument,,
390757439,20.7914836,41.1155576,Лихнид,,,,,,,,,,,,,,archaeological_site,,it:Lychnidos
410115784,21.2578980,41.3377228,Мечкин Камен,,Mechkin Kamen,Mečkin Kamen,,,,,,,,,,,monument,,
410115785,21.2273776,41.3880768,Слива,,,Sliva,,,,,,,,,,,monument,,
444334991,22.4069917,41.9188903,Споменик на слободата,,Monument of Freedom,Spomenik na slobodata,,,,,,,,,,,monument,,mk:Споменик на слободата (Кочани)
473902990,22.3507979,42.2916094,WWII Battle - 17th Macedonian Brigade ws Bulgarian army,2ра Светска војна - Битка помеѓу 17та Македонска Ударна Бригада и Бугарската војска,,,,,,,,,,,,,monument,,
478699817,22.8566138,41.7077548,Музеј на град Берово,,Berovo Town Museum,,,,,,,,,,,http://www.berovo.gov.mk/index.php?option=com_content&view=article&id=76&Itemid=117,,,
495558836,20.6798350,41.1776616,Споменик на Револуцијата,,Monument of the Revolution,Spomenik na Revolucijata,,,,,,,,,,,monument,,
529811458,22.0163228,41.4343634,Музеј Галерија Кавадарци,,Muzej Galerija Kavadarci,,,,,,,,,,,,,,
534925163,20.7961416,41.1123610,Куќа на Робевци,,Robev Family House,Robev Family House,,62,,Цар Самоил,,,Tu-Su 09:00-14:00,,,http://muzejohrid.mk/en/house-of-robev-family,,,
908273421,21.4314474,41.9959035,Споменик на Александар Македонски,,Statue of Alexander the Great,Voin na Konj,,,,,,,,,,,monument,statue,mk:Воин на коњ (Скопје)
1272898175,22.5049622,41.8841902,Museum Teracotta,,,,,1a,,,,,,,,,,,
1452854994,20.5620379,41.6346281,Lukov,,,,,,,,,,,,,,memorial,,
