@id,@lon,@lat,name,name:mk,name:en,int_name,addr:city,addr:housenumber,addr:postcode,addr:street,phone,contact:phone,opening_hours,fee,operator,website,historic,memorial,wikipedia
172348137,21.4174425,42.0057090,Природонаучен Музеј,,Macedonian Museum of Natural History,,,,,,,+38923117669,Tu-Su 09:00-16:00,yes,,,,,mk:Природонаучен музеј на Македонија
308882377,21.1660844,41.9764170,,,,,,,,,,,,,,,,,
311178695,21.1661979,41.9763168,,,,,,,,,,,,,,,,,
364977606,21.3942891,42.0150515,,,,,,,,,,,,,,,,,
364977608,21.3943372,42.0152150,,,,,,,,,,,,,,,,,
364977610,21.3946052,42.0160931,,,,,,,,,,,,,,,,,
364977612,21.3937099,42.0165980,,,,,,,,,,,,,,,,,
364977613,21.3940891,42.0171297,,,,,,,,,,,,,,,,,
364977614,21.3934960,42.0175974,,,,,,,,,,,,,,,,,
364977616,21.3927118,42.0172816,,,,,,,,,,,,,,,,,
364977618,21.3923436,42.0176951,,,,,,,,,,,,,,,,,
364977620,21.3920590,42.0180781,,,,,,,,,,,,,,,,,
364977622,21.3916499,42.0175937,,,,,,,,,,,,,,,,,
364977623,21.3906028,42.0175048,,,,,,,,,,,,,,,,,
364977629,21.3910599,42.0162747,,,,,,,,,,,,,,,,,
364977631,21.3924757,42.0158705,,,,,,,,,,,,,,,,,
367853384,21.4333190,41.9936737,Питу Гули,,,,,,,,,,,,,,monument,,
367860262,21.4233737,42.0032812,Гоце Делчев,,,,,,,,,,,,,,monument,,
369746135,21.4359983,42.0031606,,,,,,,,,,,,,,,,,
369746136,21.4359201,42.0032112,,,,,,,,,,,,,,,,,
369746137,21.4357426,42.0030600,,,,,,,,,,,,,,,,,
369746138,21.4358156,42.0030127,,,,,,,,,,,,,,,,,
369746139,21.4355220,42.0027625,,,,,,,,,,,,,,,,,
369746140,21.4356538,42.0026771,,,,,,,,,,,,,,,,,
369746141,21.4355387,42.0025790,,,,,,,,,,,,,,,,,
369746142,21.4357527,42.0024403,,,,,,,,,,,,,,,,,
369746143,21.4356769,42.0023757,,,,,,,,,,,,,,,,,
369746144,21.4360651,42.0021240,,,,,,,,,,,,,,,,,
369746145,21.4361962,42.0022357,,,,,,,,,,,,,,,,,
369746146,21.4362774,42.0021831,,,,,,,,,,,,,,,,,
369746147,21.4363905,42.0022794,,,,,,,,,,,,,,,,,
369746148,21.4365227,42.0021937,,,,,,,,,,,,,,,,,
369746149,21.4366458,42.0022985,,,,,,,,,,,,,,,,,
369746150,21.4367776,42.0022130,,,,,,,,,,,,,,,,,
369746151,21.4369057,42.0023221,,,,,,,,,,,,,,,,,
369746152,21.4367734,42.0024079,,,,,,,,,,,,,,,,,
369746153,21.4368897,42.0025069,,,,,,,,,,,,,,,,,
369746154,21.4367461,42.0026001,,,,,,,,,,,,,,,,,
369746155,21.4366296,42.0025010,,,,,,,,,,,,,,,,,
369746156,21.4364947,42.0025885,,,,,,,,,,,,,,,,,
369746157,21.4363752,42.0024867,,,,,,,,,,,,,,,,,
369746158,21.4362416,42.0025734,,,,,,,,,,,,,,,,,
369746159,21.4361160,42.0024664,,,,,,,,,,,,,,,,,
369746160,21.4359887,42.0025490,,,,,,,,,,,,,,,,,
369746161,21.4360562,42.0026065,,,,,,,,,,,,,,,,,
369746162,21.4359258,42.0026911,,,,,,,,,,,,,,,,,
369746163,21.4360449,42.0027925,,,,,,,,,,,,,,,,,
369746164,21.4359153,42.0028765,,,,,,,,,,,,,,,,,
369746165,21.4360256,42.0029704,,,,,,,,,,,,,,,,,
369746166,21.4359525,42.0030178,,,,,,,,,,,,,,,,,
369746167,21.4360157,42.0030716,,,,,,,,,,,,,,,,,
369746168,21.4363187,42.0030699,,,,,,,,,,,,,,,,,
369746733,21.4367598,42.0032939,,,,,,,,,,,,,,,,,
369746735,21.4367896,42.0029156,,,,,,,,,,,,,,,,,
369746737,21.4373291,42.0029390,,,,,,,,,,,,,,,,,
