name,nameEn,region,city,municipality,postcode,suburb,lon,lat,address,,,,,,
Музеј на современата уметност,Contemporary Art Museum of Macedonia,Skopje Region,Skopje,Municipality of Centar,1000,Debar Maalo,42.00388665,21.43295144,"Contemporary Art Museum of Macedonia, Samoilova, 1000 Skopje, North Macedonia",,,,,,
Национална галерија „Даут-пашин амам“,Daut Pasha Hamam National Gallery,Skopje Region,Skopje,Municipality of Centar,1000,Madzhir Maalo,41.9987239,21.43572365,"Daut Pasha Hamam National Gallery, Плоштад Карпошово Востание""",,, 1000 Skopje," North Macedonia""",172171547,
Национална галерија на Македонија „Чифте-амам“,Chifte Hammam National Gallery of Macedonia,Skopje Region,Skopje,Municipality of Chair,1000,Dukjandzhik,42.0011289,21.43727285,"Chifte Hammam National Gallery of Macedonia, Леблебиџиска, 1000 Skopje, North Macedonia",,,,,,
Драмски Театар,,Skopje Region,Skopje,Municipality of Karposh,1000,Karposh 2,42.0021876,21.40798528,"Драмски Театар, Шекспирова 15, 1000 Skopje, North Macedonia",,,,,,
Македонска Филхармонија,Macedonian Philharmonics,Skopje Region,Skopje,Municipality of Centar,1000,Madzhir Maalo,41.9975067,21.43588376,"Macedonian Philharmonics, Mother Teresa Square, 1000 Skopje, North Macedonia",,,,,,
Војдан Чернодрински,Vojdan Chernodrinski,Pelagonia Region,Prilep,Municipality of Prilep,7500,Charshija,41.34162795,21.55810881,"Vojdan Chernodrinski, Borka Taleski-Modernoto 111, 7500 Prilep, North Macedonia",,,,,,
Atelje Bojar,,Skopje Region,Skopje,Municipality of Centar,1000,Vodno,41.9847107,21.4220562,"Atelje Bojar, Славејко Арсов, 1000 Skopje, North Macedonia",,,,,,
Куршумли-ан,,Skopje Region,Skopje,Municipality of Chair,1000,Dukjandzhik,42.0031499,21.43684302,"Куршумли-ан, Атанас Бабата, 1000 Skopje, North Macedonia",,,,,,
Македонска опера и балет,Macedonian Opera and Ballet,Skopje Region,Skopje,Municipality of Centar,1000,Madzhir Maalo,41.99757115,21.43708871,"Macedonian Opera and Ballet, Пајко Маало, 1000 Skopje, North Macedonia",,,,,,
Музеј на икони,,Pelagonia Region,Prilep,Municipality of Prilep,7500,Charshija,41.3439183,21.55867555,"Музеј на икони, Republikanska, 7500 Prilep, North Macedonia",,,,,,
Театар Комедија,Theater Comedy,Skopje Region,Skopje,Municipality of Centar,1000,Kapishtec,41.9944758,21.42526656,"Theater Comedy, Kliment Ohridski Boulevard, 1000 Skopje, North Macedonia",,,,,,
Дом на АРМ,Army Hall Cultural Centre,Skopje Region,Skopje,Municipality of Centar,1000,Madzhir Maalo,41.9934117,21.43213339,"Army Hall Cultural Centre, Dimitrie Chupovski, 1000 Skopje, North Macedonia",,,,,,
Младински Културен Центар,Youth Cultural Center,Skopje Region,Skopje,Municipality of Centar,1000,Madzhir Maalo,41.9964224,21.44277467,"Youth Cultural Center, Kej Dimitar Vlahov, 1000 Skopje, North Macedonia",,,,,,
Турски Театар,,Skopje Region,Skopje,Municipality of Chair,1000,Dukjandzhik,42.004385,21.43848465,"Турски Театар, Никола Мартиновски 41, 1000 Skopje, North Macedonia",,,,,,
Центар на културата Бели мугри,Cultural Center Beli Mugri,Eastern Region,Kochani,Municipality of Kochani,2300,,41.9165045,22.41244876,"Cultural Center Beli Mugri, Kej na revolucijata, 2300 Kochani, North Macedonia",,,,,,
Дом на Култура,,Pelagonia Region,Bitola,Municipality of Bitola,7000,Borimechka,41.02795155,21.3347431,"Дом на Култура, Пеце Матичевски, 7000 Bitola, North Macedonia",,,,,,
Трајко Прокопиев,,Northeastern Region,Kumanovo,Municipality of Kumanovo,1300,,42.13480855,21.72011024,"Трајко Прокопиев, Циганско сокаче, 1300 Kumanovo, North Macedonia",,,,,,
Македонски народен театар,Macedonian National Theatre,Skopje Region,Skopje,Municipality of Centar,1000,Debar Maalo,41.99858255,21.43236693,"Macedonian National Theatre, 11 Март, 1000 Skopje, North Macedonia",,,,,,
Дом на Градежници,,Skopje Region,Skopje,Municipality of Centar,1000,Debar Maalo,41.9957362,21.42696147,"Дом на Градежници, Liberty Square, 1000 Skopje, North Macedonia",,,,,,
Три Круши,,Skopje Region,Drachevo,Municiplity of Kisela Voda,1050,,41.92919055,21.5228115,"Три Круши, Драчевска-2, 1050 Drachevo, North Macedonia",,,,,,
Никола Мартиноски,Nikola Martinoski,Pelagonia Region,Krushevo OT,Municipality of Krushevo,7550,Струнга,41.36894095,21.25231391,"Nikola Martinoski, Niko Doaga-Koljka, 7550 Krushevo OT, North Macedonia",,,,,,
Дом на културата,,Vardar Region,Kavadarci,Municipality of Kavadarci,1430,,41.4339576,22.0122027,"Дом на културата, 7ми Септември, 1430 Kavadarci, North Macedonia",,,,,,
Детски театарски центар,,Skopje Region,Skopje,Municipality of Chair,1009,Dukjandzhik,42.0021643,21.43838231,"Детски театарски центар, Евлија Челебија 1, 1009 Skopje, North Macedonia",,,,,,
Градски театар - Штип,,Eastern Region,Shtip,Municipality of Shtip,2000,,41.73765405,22.19836799,"Градски театар - Штип, General Mihaylo Apostolski St., 2000 Shtip, North Macedonia",,,,,,
"Theater ""Dzhinot"" - Veles",,Vardar Region,Veles,Municipality of Veles,1400,,41.7175479,21.77628389,"Theater Dzhinot"" - Veles",,,"Благој Ѓорев, 1400 Veles, North Macedonia",512073131,,
